"","CODIGO","Frutos","Productividad","IFW","date","Treatment","Island","Species","HMAX"
"62",5051,20,1.323,0.06615,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",60
"63",5053,27,1.704,0.0631111111111111,2016-09-22,"Control","Santa Cruz","Solanum lycopersicum",82
"64",5055,30,1.742,0.0580666666666667,2016-11-08,"Control","Santa Cruz","Capsicum annuum",65
"65",5198,2,0.089,0.0445,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",100
"66",5200,1,0.042,0.042,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",145
"67",5201,2,0.083,0.0415,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",120
"68",5202,3,0.128,0.0426666666666667,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",115
"69",5203,4,0.899,0.22475,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",220
"70",5204,5,0.922,0.1844,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",180
"71",5205,10,1.765,0.1765,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",189
"72",5206,7,1.504,0.214857142857143,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",180
"73",5207,6,1.101,0.1835,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",165
"74",5208,10,1.92,0.192,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",160
"75",5209,14,2.324,0.166,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",160
"76",5210,10,1.969,0.1969,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",165
"77",5211,10,1.968,0.1968,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",143
"78",5212,8,1.488,0.186,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",165
"79",5213,10,1.642,0.1642,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",140
"80",5214,5,0.606,0.1212,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",140
"81",5215,12,2.219,0.184916666666667,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",140
"82",5216,9,1.503,0.167,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",137
"83",5217,9,1.107,0.123,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",120
"84",5218,14,2.259,0.161357142857143,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",140
"85",5219,7,1.172,0.167428571428571,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",140
"86",5220,9,1.314,0.146,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",150
"87",5221,7,1.019,0.145571428571429,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",150
"88",5222,5,0.89,0.178,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum",155
"89",5373,3,0.318,0.106,2016-04-12,"Groasis","Floreana","Solanum lycopersicum",105
"90",5374,9,0.919,0.102111111111111,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",110
"91",5375,2,0.188,0.094,2016-04-12,"Groasis","Floreana","Solanum lycopersicum",95
"92",5377,2,0.19,0.095,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",117
"93",5378,9,0.88,0.0977777777777778,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",98
"94",5379,4,0.436,0.109,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",92
